"","VALP","BLD_label","BDSP","JWMNP","JWTR_label"
"4856",625000,"One-family house detached",4,5,"Car, truck, or van"
"4857",5e+05,"One-family house detached",4,5,"Car, truck, or van"
"4858",5e+05,"One-family house detached",4,5,"Car, truck, or van"
"4859",5e+05,"One-family house detached",4,5,"Walked"
"4860",2e+06,"One-family house detached",1,10,"Car, truck, or van"
"4861",285000,"One-family house detached",2,25,"Car, truck, or van"
"4862",395000,"One-family house detached",4,6,"Car, truck, or van"
"4863",395000,"One-family house detached",4,45,"Car, truck, or van"
"4864",5e+05,"One-family house detached",4,70,"Car, truck, or van"
"4865",5e+05,"One-family house detached",4,15,"Car, truck, or van"
"4866",5e+05,"One-family house detached",4,7,"Car, truck, or van"
"4867",1000,"One-family house detached",3,20,"Car, truck, or van"
"4868",1000,"One-family house detached",3,30,"Car, truck, or van"
"4869",1000,"One-family house detached",3,45,"Car, truck, or van"
"4870",1000,"One-family house detached",3,45,"Car, truck, or van"
"4871",150000,"One-family house detached",2,55,"Car, truck, or van"
"4872",650000,"One-family house detached",4,60,"Car, truck, or van"
"4873",5e+05,"3-4 Apartments",3,45,"Car, truck, or van"
"4874",5e+05,"3-4 Apartments",3,45,"Car, truck, or van"
"4875",5e+05,"3-4 Apartments",3,25,"Car, truck, or van"
"4876",5e+05,"3-4 Apartments",3,10,"Car, truck, or van"
"4877",3e+05,"One-family house detached",3,25,"Car, truck, or van"
"4878",225000,"One-family house detached",4,20,"Car, truck, or van"
"4879",225000,"One-family house detached",4,40,"Car, truck, or van"
"4880",4e+05,"One-family house detached",4,40,"Car, truck, or van"
"4881",4e+05,"One-family house detached",4,40,"Car, truck, or van"
"4882",5e+05,"One-family house detached",4,35,"Car, truck, or van"
"4883",5e+05,"One-family house detached",4,20,"Car, truck, or van"
"4884",5e+05,"One-family house detached",4,10,"Car, truck, or van"
"4885",180000,"One-family house detached",3,15,"Car, truck, or van"
"4886",180000,"One-family house detached",3,15,"Car, truck, or van"
"4887",480000,"One-family house detached",4,25,"Car, truck, or van"
"4888",325000,"One-family house detached",2,1,"Car, truck, or van"
"4889",325000,"One-family house detached",2,10,"Car, truck, or van"
"4890",2e+06,"One-family house detached",5,20,"Car, truck, or van"
"4891",290000,"One-family house detached",3,45,"Car, truck, or van"
"4892",290000,"One-family house detached",3,30,"Car, truck, or van"
"4893",4e+05,"One-family house detached",4,50,"Car, truck, or van"
"4894",4e+05,"One-family house detached",4,15,"Car, truck, or van"
"4895",4e+05,"One-family house detached",4,20,"Other method"
"4896",8e+05,"One-family house detached",4,30,"Car, truck, or van"
"4897",8e+05,"One-family house detached",4,30,"Car, truck, or van"
"4898",8e+05,"One-family house detached",4,20,"Car, truck, or van"
"4899",130000,"One-family house detached",1,50,"Car, truck, or van"
"4900",750000,"One-family house detached",4,45,"Bicycle"
"4901",750000,"One-family house detached",4,40,"Car, truck, or van"
"4902",225000,"One-family house detached",3,35,"Car, truck, or van"
"4903",370000,"One-family house detached",3,25,"Car, truck, or van"
"4904",370000,"One-family house detached",3,20,"Car, truck, or van"
"4905",7e+05,"One-family house detached",4,50,"Car, truck, or van"
"4906",7e+05,"One-family house detached",4,15,"Car, truck, or van"
"4907",320000,"One-family house detached",4,30,"Car, truck, or van"
"4908",320000,"One-family house detached",4,30,"Car, truck, or van"
"4909",250000,"One-family house detached",5,60,"Car, truck, or van"
"4910",250000,"One-family house detached",5,45,"Car, truck, or van"
"4911",250000,"One-family house detached",5,45,"Car, truck, or van"
"4912",250000,"One-family house detached",3,144,"Car, truck, or van"
"4913",250000,"One-family house detached",3,20,"Car, truck, or van"
"4914",2e+06,"One-family house detached",4,50,"Car, truck, or van"
"4915",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"4916",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"4917",425000,"One-family house detached",4,15,"Car, truck, or van"
"4918",425000,"One-family house detached",4,25,"Car, truck, or van"
"4919",425000,"One-family house detached",4,25,"Car, truck, or van"
"4920",2e+05,"One-family house detached",3,10,"Car, truck, or van"
"4921",2e+05,"One-family house detached",3,60,"Car, truck, or van"
"4922",220000,"10-19 Apartments",1,75,"Car, truck, or van"
"4923",5e+05,"One-family house detached",4,70,"Car, truck, or van"
"4924",5e+05,"One-family house detached",4,12,"Car, truck, or van"
"4925",256000,"One-family house detached",4,25,"Car, truck, or van"
"4926",256000,"One-family house detached",4,15,"Car, truck, or van"
"4927",575000,"One-family house attached",3,40,"Car, truck, or van"
"4928",575000,"One-family house attached",3,35,"Car, truck, or van"
"4929",4e+05,"One-family house detached",1,10,"Car, truck, or van"
"4930",350000,"One-family house detached",5,10,"Car, truck, or van"
"4931",350000,"One-family house detached",5,15,"Car, truck, or van"
"4932",5e+05,"One-family house attached",4,30,"Car, truck, or van"
"4933",725000,"50 or more apartments",2,20,"Walked"
"4934",225000,"One-family house attached",3,25,"Car, truck, or van"
"4935",225000,"One-family house attached",3,5,"Car, truck, or van"
"4936",225000,"One-family house attached",3,35,"Car, truck, or van"
"4937",9e+05,"One-family house detached",5,25,"Car, truck, or van"
"4938",9e+05,"One-family house detached",5,5,"Car, truck, or van"
"4939",450000,"3-4 Apartments",3,10,"Car, truck, or van"
"4940",2e+05,"One-family house detached",3,20,"Car, truck, or van"
"4941",2e+05,"One-family house detached",3,45,"Car, truck, or van"
"4942",360000,"One-family house detached",3,30,"Car, truck, or van"
"4943",360000,"One-family house detached",3,30,"Car, truck, or van"
"4944",380000,"One-family house detached",4,20,"Car, truck, or van"
"4945",330000,"One-family house detached",3,75,"Car, truck, or van"
"4946",4e+05,"2 Apartments",3,20,"Car, truck, or van"
"4947",4e+05,"2 Apartments",3,40,"Car, truck, or van"
"4948",650000,"One-family house detached",3,30,"Car, truck, or van"
"4949",650000,"One-family house detached",3,10,"Car, truck, or van"
"4950",650000,"One-family house detached",3,15,"Car, truck, or van"
"4951",170000,"One-family house detached",3,50,"Car, truck, or van"
"4952",170000,"One-family house detached",3,30,"Car, truck, or van"
"4953",250000,"One-family house detached",4,45,"Car, truck, or van"
"4954",2e+06,"One-family house attached",4,25,"Other method"
"4955",950000,"One-family house detached",5,60,"Car, truck, or van"
"4956",950000,"One-family house detached",5,70,"Car, truck, or van"
"4957",390000,"One-family house detached",3,20,"Car, truck, or van"
"4958",390000,"One-family house detached",3,20,"Car, truck, or van"
"4959",380000,"One-family house detached",4,45,"Car, truck, or van"
"4960",380000,"One-family house detached",4,30,"Car, truck, or van"
"4961",3e+05,"One-family house detached",3,35,"Car, truck, or van"
"4962",3e+05,"One-family house detached",3,35,"Car, truck, or van"
"4963",1500000,"One-family house attached",3,25,"Walked"
"4964",1500000,"One-family house attached",3,20,"Car, truck, or van"
"4965",480000,"3-4 Apartments",2,15,"Car, truck, or van"
"4966",480000,"3-4 Apartments",2,15,"Car, truck, or van"
"4967",650000,"One-family house detached",4,45,"Car, truck, or van"
"4968",650000,"One-family house detached",4,70,"Car, truck, or van"
"4969",650000,"One-family house detached",4,20,"Car, truck, or van"
"4970",560000,"One-family house attached",3,90,"Railroad"
"4971",290000,"One-family house detached",3,15,"Car, truck, or van"
"4972",290000,"One-family house detached",3,20,"Car, truck, or van"
"4973",4e+05,"One-family house detached",3,75,"Other method"
"4974",5e+05,"One-family house detached",4,15,"Car, truck, or van"
"4975",5e+05,"One-family house detached",4,144,"Car, truck, or van"
"4976",5e+05,"One-family house detached",4,30,"Car, truck, or van"
"4977",5e+05,"One-family house detached",4,15,"Car, truck, or van"
"4978",1500000,"One-family house detached",4,30,"Car, truck, or van"
"4979",580000,"One-family house attached",2,90,"Railroad"
"4980",310000,"One-family house detached",3,20,"Car, truck, or van"
"4981",310000,"One-family house detached",3,20,"Car, truck, or van"
"4982",4e+05,"One-family house detached",5,30,"Car, truck, or van"
"4983",4e+05,"One-family house detached",5,25,"Car, truck, or van"
"4984",4e+05,"One-family house detached",5,5,"Car, truck, or van"
"4985",750000,"One-family house detached",4,25,"Car, truck, or van"
"4986",750000,"One-family house detached",4,90,"Car, truck, or van"
"4987",4e+05,"One-family house detached",4,39,"Car, truck, or van"
"4988",4e+05,"One-family house detached",4,10,"Other method"
"4989",4e+05,"One-family house detached",4,55,"Car, truck, or van"
"4990",3e+05,"2 Apartments",4,30,"Car, truck, or van"
"4991",375000,"One-family house detached",3,15,"Car, truck, or van"
"4992",375000,"One-family house detached",3,35,"Car, truck, or van"
"4993",4441000,"One-family house detached",2,20,"Car, truck, or van"
"4994",4441000,"One-family house detached",2,30,"Car, truck, or van"
"4995",7e+05,"One-family house detached",5,45,"Car, truck, or van"
"4996",7e+05,"One-family house detached",5,20,"Car, truck, or van"
"4997",750000,"2 Apartments",5,20,"Car, truck, or van"
"4998",750000,"2 Apartments",5,35,"Car, truck, or van"
"4999",4e+05,"One-family house detached",3,45,"Car, truck, or van"
"5000",4e+05,"One-family house detached",3,3,"Car, truck, or van"
"5001",4e+05,"One-family house detached",3,8,"Car, truck, or van"
"5002",4e+05,"One-family house detached",3,40,"Car, truck, or van"
"5003",450000,"10-19 Apartments",0,45,"Car, truck, or van"
"5004",23500,"One-family house detached",4,30,"Car, truck, or van"
"5005",130000,"One-family house attached",2,25,"Car, truck, or van"
"5006",585000,"One-family house detached",4,50,"Car, truck, or van"
"5007",585000,"One-family house detached",4,10,"Car, truck, or van"
"5008",850000,"One-family house detached",3,35,"Car, truck, or van"
"5009",850000,"One-family house detached",3,45,"Car, truck, or van"
"5010",375000,"One-family house detached",3,50,"Car, truck, or van"
"5011",7e+05,"3-4 Apartments",2,40,"Car, truck, or van"
"5012",175000,"One-family house detached",2,20,"Car, truck, or van"
"5013",175000,"One-family house detached",2,15,"Car, truck, or van"
"5014",650000,"20-49 Apartments",2,20,"Walked"
"5015",1e+05,"2 Apartments",3,10,"Car, truck, or van"
"5016",290000,"One-family house detached",4,10,"Car, truck, or van"
"5017",290000,"One-family house detached",4,45,"Railroad"
"5018",290000,"One-family house detached",4,10,"Car, truck, or van"
"5019",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"5020",4e+05,"One-family house detached",3,8,"Car, truck, or van"
"5021",4e+05,"One-family house detached",3,10,"Car, truck, or van"
"5022",4e+05,"One-family house detached",3,8,"Car, truck, or van"
"5023",4e+05,"One-family house detached",3,15,"Car, truck, or van"
"5024",175000,"5-9 Apartments",2,20,"Car, truck, or van"
"5025",2e+05,"One-family house detached",2,20,"Car, truck, or van"
"5026",275000,"One-family house detached",3,25,"Car, truck, or van"
"5027",275000,"One-family house detached",3,25,"Car, truck, or van"
"5028",275000,"One-family house detached",3,20,"Car, truck, or van"
"5029",450000,"One-family house detached",2,10,"Car, truck, or van"
"5030",450000,"One-family house detached",2,15,"Car, truck, or van"
"5031",450000,"One-family house detached",3,5,"Car, truck, or van"
"5032",190000,"One-family house detached",3,25,"Car, truck, or van"
"5033",4e+05,"3-4 Apartments",2,10,"Car, truck, or van"
"5034",4e+05,"3-4 Apartments",2,2,"Car, truck, or van"
"5035",3e+05,"One-family house detached",3,25,"Car, truck, or van"
"5036",3e+05,"One-family house detached",3,55,"Car, truck, or van"
"5037",280000,"One-family house detached",2,144,"Car, truck, or van"
"5038",8e+05,"One-family house detached",4,55,"Railroad"
"5039",375000,"One-family house detached",3,5,"Walked"
"5040",375000,"One-family house detached",2,15,"Car, truck, or van"
"5041",145000,"One-family house detached",2,10,"Car, truck, or van"
"5042",210000,"One-family house attached",2,20,"Car, truck, or van"
"5043",210000,"One-family house attached",2,25,"Car, truck, or van"
"5044",350000,"One-family house detached",3,60,"Car, truck, or van"
"5045",280000,"One-family house detached",3,20,"Car, truck, or van"
"5046",280000,"One-family house detached",3,20,"Car, truck, or van"
"5047",210000,"One-family house detached",3,40,"Car, truck, or van"
"5048",135000,"One-family house detached",3,10,"Car, truck, or van"
"5049",135000,"One-family house detached",3,5,"Car, truck, or van"
"5050",167000,"One-family house detached",4,10,"Car, truck, or van"
"5051",167000,"One-family house detached",4,5,"Car, truck, or van"
"5052",1e+06,"One-family house detached",4,25,"Car, truck, or van"
"5053",4e+05,"One-family house detached",2,45,"Car, truck, or van"
"5054",4e+05,"One-family house detached",2,25,"Car, truck, or van"
"5055",350000,"One-family house detached",4,45,"Car, truck, or van"
"5056",350000,"One-family house detached",4,15,"Car, truck, or van"
"5057",270000,"One-family house detached",3,144,"Car, truck, or van"
"5058",270000,"One-family house detached",3,15,"Car, truck, or van"
"5059",270000,"One-family house detached",3,45,"Car, truck, or van"
"5060",750000,"3-4 Apartments",3,40,"Car, truck, or van"
"5061",4e+05,"One-family house detached",2,30,"Car, truck, or van"
"5062",4e+05,"One-family house detached",2,30,"Car, truck, or van"
"5063",242000,"One-family house attached",2,35,"Car, truck, or van"
"5064",242000,"One-family house attached",2,105,"Car, truck, or van"
"5065",450000,"One-family house detached",5,15,"Car, truck, or van"
"5066",450000,"One-family house detached",5,5,"Car, truck, or van"
"5067",1700000,"One-family house detached",6,144,"Other method"
"5068",250000,"One-family house attached",2,8,"Car, truck, or van"
"5069",1200,"2 Apartments",4,30,"Car, truck, or van"
"5070",1200,"2 Apartments",4,10,"Car, truck, or van"
"5071",1200,"2 Apartments",4,20,"Car, truck, or van"
"5072",1200,"2 Apartments",4,15,"Car, truck, or van"
"5073",425000,"One-family house detached",3,45,"Car, truck, or van"
"5074",425000,"One-family house detached",3,15,"Car, truck, or van"
"5075",425000,"One-family house detached",3,20,"Car, truck, or van"
"5076",425000,"One-family house detached",3,60,"Car, truck, or van"
"5077",250000,"One-family house detached",3,15,"Car, truck, or van"
"5078",250000,"One-family house detached",3,15,"Car, truck, or van"
"5079",250000,"One-family house detached",3,40,"Car, truck, or van"
"5080",250000,"One-family house detached",3,40,"Car, truck, or van"
"5081",350000,"One-family house detached",3,10,"Car, truck, or van"
"5082",350000,"One-family house detached",3,10,"Car, truck, or van"
"5083",350000,"One-family house detached",3,5,"Car, truck, or van"
"5084",390000,"One-family house detached",3,10,"Car, truck, or van"
"5085",160000,"10-19 Apartments",2,20,"Car, truck, or van"
"5086",6e+05,"One-family house detached",4,50,"Car, truck, or van"
"5087",250000,"One-family house detached",3,40,"Car, truck, or van"
"5088",250000,"One-family house detached",3,15,"Car, truck, or van"
"5089",225000,"One-family house detached",4,15,"Car, truck, or van"
"5090",225000,"One-family house detached",4,10,"Car, truck, or van"
"5091",225000,"One-family house detached",4,15,"Car, truck, or van"
"5092",225000,"One-family house detached",4,15,"Car, truck, or van"
"5093",225000,"One-family house detached",4,20,"Car, truck, or van"
"5094",380000,"One-family house detached",3,30,"Car, truck, or van"
"5095",380000,"One-family house detached",3,15,"Car, truck, or van"
"5096",325000,"One-family house detached",3,15,"Car, truck, or van"
"5097",360000,"One-family house detached",3,60,"Car, truck, or van"
"5098",360000,"One-family house detached",3,20,"Car, truck, or van"
"5099",410000,"One-family house detached",2,20,"Car, truck, or van"
"5100",8e+05,"One-family house detached",4,45,"Car, truck, or van"
"5101",8e+05,"One-family house detached",4,20,"Car, truck, or van"
"5102",450000,"One-family house detached",3,15,"Car, truck, or van"
"5103",299000,"One-family house detached",4,65,"Car, truck, or van"
"5104",550000,"2 Apartments",5,40,"Car, truck, or van"
"5105",450000,"One-family house detached",3,60,"Railroad"
"5106",450000,"One-family house detached",3,25,"Car, truck, or van"
"5107",150000,"One-family house detached",2,60,"Car, truck, or van"
"5108",240000,"One-family house detached",3,15,"Car, truck, or van"
"5109",240000,"One-family house detached",3,25,"Car, truck, or van"
"5110",3e+05,"One-family house detached",3,10,"Car, truck, or van"
"5111",550000,"One-family house detached",5,20,"Car, truck, or van"
"5112",2e+05,"50 or more apartments",2,45,"Car, truck, or van"
"5113",650000,"One-family house detached",3,90,"Car, truck, or van"
"5114",7e+05,"3-4 Apartments",2,30,"Bus or trolley bus"
"5115",7e+05,"3-4 Apartments",2,50,"Car, truck, or van"
"5116",2e+05,"One-family house detached",2,60,"Car, truck, or van"
"5117",250000,"One-family house detached",4,20,"Car, truck, or van"
"5118",265000,"One-family house detached",3,35,"Car, truck, or van"
"5119",8e+05,"One-family house detached",3,30,"Car, truck, or van"
"5120",210000,"One-family house attached",2,45,"Car, truck, or van"
"5121",210000,"One-family house attached",2,15,"Car, truck, or van"
"5122",270000,"One-family house detached",4,25,"Car, truck, or van"
"5123",270000,"One-family house detached",4,25,"Car, truck, or van"
"5124",325000,"One-family house detached",3,15,"Car, truck, or van"
"5125",325000,"One-family house detached",3,25,"Car, truck, or van"
"5126",350000,"One-family house detached",2,50,"Car, truck, or van"
"5127",1250000,"One-family house detached",5,20,"Car, truck, or van"
"5128",1250000,"One-family house detached",5,40,"Car, truck, or van"
"5129",750000,"One-family house detached",5,10,"Car, truck, or van"
"5130",750000,"One-family house detached",5,15,"Car, truck, or van"
"5131",1200000,"One-family house detached",4,60,"Railroad"
"5132",950000,"One-family house detached",4,60,"Subway or elevated"
"5133",950000,"One-family house detached",4,60,"Car, truck, or van"
"5134",950000,"One-family house detached",4,10,"Car, truck, or van"
"5135",8e+05,"One-family house detached",3,15,"Car, truck, or van"
"5136",8e+05,"One-family house detached",3,5,"Car, truck, or van"
"5137",150000,"2 Apartments",1,15,"Car, truck, or van"
"5138",150000,"2 Apartments",1,12,"Car, truck, or van"
"5139",2e+05,"2 Apartments",2,90,"Car, truck, or van"
"5140",4e+05,"3-4 Apartments",2,12,"Car, truck, or van"
"5141",4e+05,"3-4 Apartments",2,20,"Other method"
"5142",595000,"One-family house attached",3,5,"Car, truck, or van"
"5143",595000,"One-family house attached",3,30,"Car, truck, or van"
"5144",150000,"10-19 Apartments",2,45,"Bus or trolley bus"
"5145",150000,"10-19 Apartments",2,35,"Car, truck, or van"
"5146",3e+05,"5-9 Apartments",2,35,"Car, truck, or van"
"5147",8e+05,"One-family house detached",3,45,"Car, truck, or van"
"5148",3e+05,"3-4 Apartments",2,10,"Car, truck, or van"
"5149",5e+05,"One-family house detached",5,23,"Car, truck, or van"
"5150",5e+05,"One-family house detached",5,90,"Bus or trolley bus"
"5151",5e+05,"One-family house detached",5,45,"Car, truck, or van"
"5152",650000,"One-family house detached",4,60,"Car, truck, or van"
"5153",350000,"One-family house detached",3,30,"Car, truck, or van"
"5154",550000,"One-family house detached",5,15,"Car, truck, or van"
"5155",550000,"One-family house detached",5,15,"Car, truck, or van"
"5156",257000,"One-family house detached",2,15,"Car, truck, or van"
"5157",257000,"One-family house detached",2,30,"Car, truck, or van"
"5158",9e+05,"One-family house detached",4,18,"Car, truck, or van"
"5159",9e+05,"One-family house detached",4,10,"Walked"
"5160",480000,"One-family house detached",4,35,"Car, truck, or van"
"5161",480000,"One-family house detached",4,45,"Car, truck, or van"
"5162",4e+05,"50 or more apartments",2,60,"Car, truck, or van"
"5163",3e+05,"One-family house detached",2,15,"Car, truck, or van"
"5164",3e+05,"One-family house detached",2,15,"Car, truck, or van"
"5165",150000,"2 Apartments",2,20,"Car, truck, or van"
"5166",150000,"2 Apartments",2,20,"Car, truck, or van"
"5167",4441000,"One-family house attached",5,30,"Subway or elevated"
"5168",4441000,"One-family house attached",5,5,"Walked"
"5169",650000,"One-family house detached",4,75,"Railroad"
"5170",4441000,"50 or more apartments",0,20,"Walked"
"5171",1e+06,"2 Apartments",6,20,"Car, truck, or van"
"5172",1e+06,"2 Apartments",6,30,"Bus or trolley bus"
"5173",125000,"5-9 Apartments",2,20,"Car, truck, or van"
"5174",35000,"One-family house detached",3,10,"Car, truck, or van"
"5175",275000,"One-family house detached",3,30,"Car, truck, or van"
"5176",275000,"One-family house detached",3,35,"Car, truck, or van"
"5177",187000,"One-family house detached",3,10,"Car, truck, or van"
"5178",187000,"One-family house detached",3,20,"Car, truck, or van"
"5179",3e+05,"One-family house detached",3,20,"Car, truck, or van"
"5180",210000,"2 Apartments",2,15,"Car, truck, or van"
"5181",460000,"One-family house detached",3,25,"Car, truck, or van"
"5182",460000,"One-family house detached",3,45,"Car, truck, or van"
"5183",275000,"One-family house detached",2,50,"Car, truck, or van"
"5184",4e+05,"One-family house detached",3,7,"Car, truck, or van"
"5185",4e+05,"One-family house detached",3,40,"Car, truck, or van"
"5186",850000,"One-family house detached",4,40,"Car, truck, or van"
"5187",850000,"One-family house detached",4,50,"Subway or elevated"
"5188",9e+05,"One-family house detached",4,35,"Car, truck, or van"
"5189",9e+05,"One-family house detached",4,60,"Railroad"
"5190",340000,"3-4 Apartments",2,15,"Car, truck, or van"
"5191",2e+05,"2 Apartments",5,45,"Car, truck, or van"
"5192",50000,"One-family house detached",4,5,"Car, truck, or van"
"5193",50000,"One-family house detached",4,30,"Car, truck, or van"
"5194",4e+05,"One-family house detached",3,45,"Car, truck, or van"
"5195",4e+05,"One-family house detached",3,15,"Car, truck, or van"
"5196",93000,"One-family house detached",3,27,"Car, truck, or van"
"5197",240000,"One-family house detached",3,10,"Car, truck, or van"
"5198",240000,"One-family house detached",3,30,"Car, truck, or van"
"5199",505000,"One-family house detached",4,15,"Car, truck, or van"
"5200",505000,"One-family house detached",4,45,"Car, truck, or van"
"5201",4e+05,"One-family house attached",3,15,"Car, truck, or van"
"5202",4e+05,"One-family house attached",3,30,"Car, truck, or van"
"5203",230000,"One-family house detached",3,20,"Car, truck, or van"
"5204",230000,"One-family house detached",3,20,"Car, truck, or van"
"5205",360000,"5-9 Apartments",1,40,"Car, truck, or van"
"5206",190000,"One-family house detached",3,10,"Car, truck, or van"
"5207",190000,"One-family house detached",3,10,"Car, truck, or van"
"5208",1850000,"One-family house detached",3,30,"Railroad"
"5209",1850000,"One-family house detached",3,30,"Car, truck, or van"
"5210",430000,"2 Apartments",3,10,"Car, truck, or van"
"5211",650000,"One-family house detached",3,80,"Car, truck, or van"
"5212",650000,"One-family house detached",3,45,"Car, truck, or van"
"5213",1500,"2 Apartments",3,15,"Car, truck, or van"
"5214",1500,"2 Apartments",3,60,"Car, truck, or van"
"5215",475000,"One-family house detached",3,5,"Car, truck, or van"
"5216",475000,"One-family house detached",3,5,"Car, truck, or van"
"5217",375000,"One-family house attached",3,15,"Car, truck, or van"
"5218",920000,"One-family house detached",4,144,"Other method"
"5219",920000,"One-family house detached",4,60,"Car, truck, or van"
"5220",475000,"One-family house detached",3,30,"Car, truck, or van"
"5221",475000,"One-family house detached",3,15,"Car, truck, or van"
"5222",450000,"One-family house detached",3,10,"Car, truck, or van"
"5223",450000,"One-family house detached",3,30,"Car, truck, or van"
"5224",6e+05,"One-family house detached",4,55,"Ferryboat"
"5225",6e+05,"One-family house detached",4,15,"Car, truck, or van"
"5226",3e+05,"One-family house detached",4,90,"Car, truck, or van"
"5227",5e+05,"One-family house detached",4,45,"Car, truck, or van"
"5228",5e+05,"One-family house detached",4,25,"Car, truck, or van"
"5229",190000,"One-family house attached",3,10,"Car, truck, or van"
"5230",190000,"One-family house attached",3,17,"Car, truck, or van"
"5231",190000,"One-family house attached",3,20,"Car, truck, or van"
"5232",190000,"One-family house attached",3,20,"Car, truck, or van"
"5233",190000,"One-family house attached",3,10,"Car, truck, or van"
"5234",420000,"One-family house detached",3,5,"Car, truck, or van"
"5235",420000,"One-family house detached",3,25,"Car, truck, or van"
"5236",230000,"20-49 Apartments",2,30,"Car, truck, or van"
"5237",850000,"One-family house detached",4,20,"Car, truck, or van"
"5238",850000,"One-family house detached",4,90,"Car, truck, or van"
"5239",315000,"One-family house detached",4,60,"Car, truck, or van"
"5240",315000,"One-family house detached",4,60,"Car, truck, or van"
"5241",299000,"One-family house detached",3,10,"Car, truck, or van"
"5242",299000,"One-family house detached",3,15,"Car, truck, or van"
"5243",15000,"One-family house detached",2,20,"Car, truck, or van"
"5244",15000,"One-family house detached",2,45,"Car, truck, or van"
"5245",675000,"2 Apartments",3,20,"Car, truck, or van"
"5246",225000,"One-family house detached",3,20,"Car, truck, or van"
"5247",1e+06,"One-family house detached",4,40,"Car, truck, or van"
"5248",125000,"One-family house detached",2,10,"Walked"
"5249",1e+06,"One-family house detached",5,15,"Car, truck, or van"
"5250",3e+05,"One-family house detached",4,60,"Car, truck, or van"
"5251",3e+05,"One-family house detached",4,25,"Car, truck, or van"
"5252",525000,"One-family house detached",3,10,"Car, truck, or van"
"5253",525000,"One-family house detached",3,10,"Car, truck, or van"
"5254",525000,"One-family house detached",3,35,"Car, truck, or van"
"5255",6e+05,"One-family house detached",3,15,"Car, truck, or van"
"5256",6e+05,"One-family house detached",3,90,"Car, truck, or van"
"5257",260000,"50 or more apartments",1,12,"Car, truck, or van"
"5258",260000,"50 or more apartments",1,30,"Car, truck, or van"
"5259",6000,"Mobile home or trailer",2,25,"Car, truck, or van"
"5260",525000,"One-family house detached",6,45,"Car, truck, or van"
"5261",525000,"One-family house detached",6,15,"Car, truck, or van"
"5262",750000,"One-family house detached",4,35,"Car, truck, or van"
"5263",750000,"One-family house detached",4,45,"Subway or elevated"
"5264",285000,"One-family house detached",2,70,"Car, truck, or van"
"5265",1100000,"One-family house detached",5,70,"Car, truck, or van"
"5266",4e+05,"One-family house detached",3,60,"Car, truck, or van"
"5267",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"5268",250000,"One-family house detached",3,45,"Car, truck, or van"
"5269",280000,"One-family house detached",3,15,"Car, truck, or van"
"5270",325000,"One-family house detached",3,30,"Car, truck, or van"
"5271",325000,"One-family house detached",3,15,"Car, truck, or van"
"5272",520000,"One-family house detached",2,35,"Car, truck, or van"
"5273",520000,"One-family house detached",2,25,"Streetcar or trolley car (carro publico in Puerto Rico)"
"5274",375000,"One-family house detached",3,55,"Railroad"
"5275",375000,"One-family house detached",3,70,"Railroad"
"5276",570000,"One-family house detached",4,30,"Car, truck, or van"
"5277",570000,"One-family house detached",4,90,"Car, truck, or van"
"5278",850000,"One-family house detached",4,70,"Car, truck, or van"
"5279",850000,"One-family house detached",4,15,"Car, truck, or van"
"5280",4e+05,"One-family house detached",5,15,"Car, truck, or van"
"5281",4e+05,"One-family house detached",5,15,"Car, truck, or van"
"5282",4e+05,"One-family house detached",5,15,"Car, truck, or van"
"5283",4e+05,"One-family house detached",3,30,"Car, truck, or van"
"5284",4e+05,"One-family house detached",3,30,"Car, truck, or van"
"5285",420000,"One-family house detached",3,90,"Car, truck, or van"
"5286",450000,"One-family house detached",3,10,"Car, truck, or van"
"5287",450000,"One-family house detached",3,25,"Car, truck, or van"
"5288",260000,"One-family house detached",1,25,"Car, truck, or van"
"5289",260000,"One-family house detached",1,25,"Car, truck, or van"
"5290",140000,"One-family house detached",3,5,"Car, truck, or van"
"5291",6e+05,"One-family house detached",2,90,"Car, truck, or van"
"5292",480000,"One-family house detached",4,20,"Car, truck, or van"
"5293",480000,"One-family house detached",4,35,"Car, truck, or van"
"5294",480000,"One-family house detached",4,20,"Car, truck, or van"
"5295",480000,"One-family house detached",4,7,"Car, truck, or van"
"5296",650000,"One-family house detached",4,25,"Car, truck, or van"
"5297",650000,"One-family house detached",4,10,"Car, truck, or van"
"5298",650000,"One-family house detached",4,70,"Railroad"
"5299",170000,"One-family house detached",3,10,"Car, truck, or van"
"5300",170000,"One-family house detached",3,15,"Car, truck, or van"
"5301",35000,"One-family house detached",2,23,"Car, truck, or van"
"5302",35000,"One-family house detached",2,12,"Other method"
"5303",325000,"One-family house detached",3,10,"Car, truck, or van"
"5304",325000,"One-family house detached",3,10,"Car, truck, or van"
"5305",250000,"One-family house detached",3,45,"Car, truck, or van"
"5306",5e+05,"One-family house detached",4,45,"Car, truck, or van"
"5307",5e+05,"One-family house detached",4,20,"Car, truck, or van"
"5308",1400000,"2 Apartments",6,10,"Car, truck, or van"
"5309",3e+05,"One-family house detached",2,45,"Subway or elevated"
"5310",850000,"One-family house detached",3,4,"Car, truck, or van"
"5311",850000,"One-family house detached",3,4,"Car, truck, or van"
"5312",1e+06,"One-family house attached",3,20,"Car, truck, or van"
